Mediterranean Avenue (Brown)
Baltic Avenue (Brown)
Oriental Avenue (Light Blue)
Vermont Avenue (Light Blue)
Connecticut Avenue (Light Blue)
St. Charles Place (Pink)
States Avenue (Pink)
Virginia Avenue (Pink)
St. James Place (Orange)
Tennessee Avenue (Orange)
New York Avenue (Orange)
Kentucky Avenue (Red)
Indiana Avenue (Red)
Illinois Avenue (Red)
Atlantic Avenue (Yellow)
Ventnor Avenue (Yellow)
Marvin Gardens (Yellow)
Pacific Avenue (Green)
North Carolina Avenue (Green)
Pennsylvania Avenue (Green)
Park Place (Dark Blue)
Boardwalk (Dark Blue) 
